product_id,product_name,category,price,cost
1,MacBook Air M3 499,Computers,873.64,182
2,Nilkamal Wardrobe 885,Furniture,695.56,394
3,Whirlpool Refrigerator 717,Home Appliances,283.23,391
4,IKEA Dining Table 410,Furniture,991.53,441
5,Tata Tea Premium 595,Grocery,476.37,280
6,Apple AirPods 321,Accessories,311.61,260
7,Atomic Habits 194,Books,600.81,368
8,Zara Linen Shirt 631,Apparel,526.51,162
9,Lenovo ThinkPad X1 915,Computers,1066.5,385
10,Dettol Sanitizer 769,Personal Care,804.69,433
11,Sapiens 636,Books,1261.06,310
12,Samsung Charger 507,Accessories,1070.74,54
13,Asus ROG Zephyrus 379,Computers,1014.85,232
14,Urban Ladder Sofa 591,Furniture,1324.24,484
15,Asus ROG Zephyrus 190,Computers,1103.15,227
16,New Balance 574 265,Footwear,91.54,80
17,Apple iPhone 15 395,Electronics,815.58,132
18,Uniqlo Hoodie 771,Apparel,136.46,297
19,Dettol Sanitizer 276,Personal Care,1453.53,360
20,Atomic Habits 302,Books,1468.7,304
21,Urban Ladder Sofa 452,Furniture,100.62,310
22,Adidas Ultraboost 342,Footwear,138.79,282
23,Nilkamal Wardrobe 932,Furniture,576.41,36
24,Urban Ladder Sofa 603,Furniture,550.48,109
25,Nivea Cream 680,Personal Care,238.63,355
26,New Balance 574 389,Footwear,489.41,337
27,Sapiens 593,Books,911.04,25
28,Dove Shampoo 667,Personal Care,329.84,206
29,Kellogg’s Corn Flakes 396,Grocery,1388.32,194
30,Sapiens 178,Books,1484.91,238
31,Uniqlo Hoodie 355,Apparel,1227.36,175
32,Godrej Bed 756,Furniture,924.27,274
33,Nike Air Max 137,Footwear,16.06,343
34,Nilkamal Wardrobe 909,Furniture,1146.76,273
35,Anker Power Bank 192,Accessories,1098.26,261
36,Dell XPS 13 648,Computers,1108.36,28
37,Asus ROG Zephyrus 790,Computers,452.57,134
38,Aashirvaad Atta 814,Grocery,772.57,333
39,Dyson Vacuum Cleaner 744,Home Appliances,652.45,108
40,Godrej Bed 581,Furniture,1004.57,192
41,LG Washing Machine 134,Home Appliances,937.94,324
42,Nilkamal Wardrobe 657,Furniture,555.91,339
43,Levi’s 511 Jeans 541,Apparel,974.3,140
44,Puma RS-X 394,Footwear,133.11,26
45,Asus ROG Zephyrus 961,Computers,153,466
46,Atomic Habits 682,Books,156.26,118
47,Kellogg’s Corn Flakes 927,Grocery,241.86,440
48,Dyson Vacuum Cleaner 706,Home Appliances,149.05,202
49,Asus ROG Zephyrus 884,Computers,1399.92,204
50,Zara Linen Shirt 216,Apparel,1127.63,354
51,Sony Earbuds 428,Accessories,1041.07,316
52,Nilkamal Wardrobe 494,Furniture,225.5,200
53,Atomic Habits 610,Books,864.23,137
54,Tata Tea Premium 534,Grocery,888.7,236
55,Apple iPhone 15 260,Electronics,482.55,221
56,Apple iPhone 15 316,Electronics,820.46,106
57,Gap Cargo Pants 391,Apparel,1481.27,359
58,Atomic Habits 626,Books,1031.18,96
59,Whirlpool Refrigerator 797,Home Appliances,485.63,324
60,Puma RS-X 225,Footwear,717.06,286
61,Urban Ladder Sofa 465,Furniture,599.44,153
62,Prestige Cookware Set 651,Home Appliances,366.17,302
63,Dell XPS 13 454,Computers,196.32,79
64,Nivea Cream 744,Personal Care,949.86,91
65,Nivea Cream 129,Personal Care,573.69,47
66,Rich Dad Poor Dad 389,Books,857.52,130
67,Nivea Cream 289,Personal Care,975.36,472
68,Apple AirPods 871,Accessories,526.43,155
69,Apple iPhone 15 959,Electronics,791.07,474
70,Dove Shampoo 274,Personal Care,1344.16,322
71,Sony WH-1000XM5 959,Electronics,1494,243
72,Philips Air Fryer 189,Home Appliances,173.41,377
73,New Balance 574 835,Footwear,508.89,17
74,Amul Butter 223,Grocery,1143.49,234
75,Tata Tea Premium 634,Grocery,410.97,186
76,Sony WH-1000XM5 222,Electronics,866.32,470
77,Rich Dad Poor Dad 906,Books,677.81,377
78,Philips Air Fryer 418,Home Appliances,945.15,135
79,Godrej Bed 802,Furniture,249.03,124
80,Deep Work 500,Books,978.17,86
81,Tata Tea Premium 317,Grocery,199.27,68
82,Samsung Charger 136,Accessories,130.86,471
83,Zara Linen Shirt 527,Apparel,969.37,143
84,Zara Linen Shirt 471,Apparel,490.78,14
85,Ponds Face Wash 794,Personal Care,883.66,280
86,New Balance 574 289,Footwear,783.88,74
87,Philips Air Fryer 541,Home Appliances,345.61,35
88,Aashirvaad Atta 277,Grocery,17.69,199
89,Rich Dad Poor Dad 236,Books,1058.29,374
90,Dettol Sanitizer 597,Personal Care,868.22,144
91,Godrej Bed 634,Furniture,210.06,304
92,Samsung Charger 256,Accessories,509.24,292
93,Urban Ladder Sofa 617,Furniture,1249.03,392
94,Sony Earbuds 289,Accessories,583.74,172
95,Apple iPhone 15 369,Electronics,1201.18,395
96,Reebok Classic 160,Footwear,998.3,239
97,Dove Shampoo 487,Personal Care,7.74,190
98,Samsung Charger 787,Accessories,1121.95,332
99,Sony Earbuds 536,Accessories,1129.54,371
100,Apple AirPods 583,Accessories,922.31,498
101,Levi’s 511 Jeans 991,Apparel,1464.03,198
102,Dell XPS 13 291,Computers,73.33,472
103,Aashirvaad Atta 354,Grocery,375.47,51
104,Levi’s 511 Jeans 287,Apparel,988.19,36
105,IKEA Dining Table 451,Furniture,884.52,447
106,Deep Work 468,Books,136.54,441
107,H&M Cotton T-Shirt 693,Apparel,348.9,388
108,Ponds Face Wash 201,Personal Care,1268.68,15
109,Tata Tea Premium 503,Grocery,583.53,456
110,Prestige Cookware Set 396,Home Appliances,1493.83,299
111,Pepperfry Chair 518,Furniture,570.74,213
112,Zara Linen Shirt 235,Apparel,456.99,168
113,Puma RS-X 381,Footwear,1327.46,316
114,IKEA Dining Table 672,Furniture,791.75,363
115,The Lean Startup 735,Books,1238.26,128
116,MacBook Air M3 897,Computers,957.01,369
117,Kellogg’s Corn Flakes 707,Grocery,686.4,225
118,Nike Air Max 617,Footwear,1055.24,197
119,Anker Power Bank 211,Accessories,884.54,261
120,New Balance 574 627,Footwear,1266.84,379
121,Tata Tea Premium 603,Grocery,686.18,77
122,Samsung Charger 898,Accessories,104.84,409
123,JBL Flip 6 402,Electronics,1027.9,315
124,IKEA Dining Table 151,Furniture,1224.44,431
125,Nilkamal Wardrobe 901,Furniture,439.41,382
126,Gap Cargo Pants 831,Apparel,989.08,196
127,Sapiens 234,Books,491.28,107
128,HP Mouse 300,Accessories,367.11,292
129,Nike Air Max 789,Footwear,1176.33,495
130,JBL Flip 6 912,Electronics,609.01,344
131,Dettol Sanitizer 279,Personal Care,711.21,343
132,Amul Butter 350,Grocery,1027.34,109
133,Adidas Ultraboost 945,Footwear,548.46,247
134,Dove Shampoo 748,Personal Care,897.45,419
135,Nivea Cream 432,Personal Care,797.21,294
136,Whirlpool Refrigerator 434,Home Appliances,1220.49,349
137,Apple AirPods 244,Accessories,192.2,148
138,Puma RS-X 743,Footwear,799.13,39
139,Sapiens 160,Books,347.95,45
140,Aashirvaad Atta 158,Grocery,554.82,223
141,Rich Dad Poor Dad 415,Books,1012.35,245
142,Reebok Classic 254,Footwear,1115.87,351
143,Anker Power Bank 564,Accessories,880.54,365
144,Apple AirPods 959,Accessories,960.02,239
145,Pepperfry Chair 902,Furniture,424.82,133
146,MacBook Air M3 200,Computers,1132.9,391
147,Asus ROG Zephyrus 937,Computers,1217.13,430
148,JBL Flip 6 197,Electronics,944.16,18
149,Prestige Cookware Set 393,Home Appliances,467.39,33
150,IKEA Dining Table 872,Furniture,890.73,60
151,MacBook Air M3 528,Computers,786.52,191
152,H&M Cotton T-Shirt 412,Apparel,495.15,478
153,IKEA Dining Table 916,Furniture,79.37,305
154,HP Envy 15 302,Computers,489.33,237
155,LG Washing Machine 766,Home Appliances,307.82,422
156,Ponds Face Wash 265,Personal Care,365.6,305
157,Reebok Classic 287,Footwear,540.75,436
158,Puma RS-X 930,Footwear,45.92,214
159,Prestige Cookware Set 605,Home Appliances,114.86,84
160,Zara Linen Shirt 262,Apparel,518.61,20
161,Whirlpool Refrigerator 128,Home Appliances,1306.75,416
162,Dell XPS 13 801,Computers,860.31,273
163,IKEA Dining Table 557,Furniture,835.37,390
164,Adidas Ultraboost 510,Footwear,780.6,403
165,JBL Flip 6 616,Electronics,576.45,305
166,Adidas Ultraboost 185,Footwear,655.36,153
167,Atomic Habits 175,Books,1416.84,499
168,Uniqlo Hoodie 532,Apparel,447.6,374
169,Ponds Face Wash 986,Personal Care,1277.58,245
170,Zara Linen Shirt 918,Apparel,149.58,188
171,HP Mouse 773,Accessories,801.72,342
172,Nike Air Max 569,Footwear,1482.61,423
173,Godrej Bed 787,Furniture,627.64,458
174,HP Envy 15 499,Computers,840.2,113
175,Amul Butter 447,Grocery,93.54,109
176,Samsung Charger 376,Accessories,1256.76,249
177,Asus ROG Zephyrus 574,Computers,922.17,209
178,Samsung Galaxy S24 326,Electronics,511.53,152
179,Uniqlo Hoodie 786,Apparel,232.6,237
180,Tata Tea Premium 236,Grocery,589.25,96
181,Rich Dad Poor Dad 530,Books,349.49,202
182,Sony Earbuds 332,Accessories,671.19,21
183,IKEA Dining Table 930,Furniture,1195.57,82
184,Nilkamal Wardrobe 857,Furniture,1133.07,219
185,Sapiens 672,Books,1117.05,356
186,Lenovo ThinkPad X1 841,Computers,1423.99,174
187,Dettol Sanitizer 667,Personal Care,142.89,125
188,Nike Air Max 429,Footwear,1312.16,246
189,Dyson Vacuum Cleaner 346,Home Appliances,1411.92,359
190,Nilkamal Wardrobe 387,Furniture,915.41,351
191,Atomic Habits 181,Books,354.81,475
192,Gap Cargo Pants 269,Apparel,1229.76,360
193,Rich Dad Poor Dad 966,Books,937.07,358
194,Aashirvaad Atta 587,Grocery,1029.91,221
195,Logitech MX Master 3S 388,Electronics,938.37,388
196,Dell XPS 13 691,Computers,769.63,306
197,IKEA Dining Table 782,Furniture,884.87,454
198,Dell XPS 13 225,Computers,1245.19,112
199,LG Washing Machine 278,Home Appliances,942.5,343
200,Tata Tea Premium 801,Grocery,1458.34,442
201,Amul Butter 650,Grocery,1046.82,179
202,Sony Earbuds 208,Accessories,632.27,67
203,Philips Air Fryer 886,Home Appliances,843.71,406
204,Sony WH-1000XM5 671,Electronics,314.58,321
205,Ponds Face Wash 526,Personal Care,1041.6,223
206,MacBook Air M3 548,Computers,1273.86,482
207,The Lean Startup 754,Books,1415.67,341
208,Rich Dad Poor Dad 834,Books,1048.62,159
209,H&M Cotton T-Shirt 470,Apparel,1242.3,28
210,Sapiens 698,Books,1481.87,339
211,The Lean Startup 116,Books,900.67,252
212,Dettol Sanitizer 348,Personal Care,25.16,223
213,Lenovo ThinkPad X1 844,Computers,1060.06,360
214,Rich Dad Poor Dad 123,Books,30.59,59
215,Dyson Vacuum Cleaner 407,Home Appliances,1412.57,46
216,Deep Work 646,Books,1178.99,120
