review_id,order_id,customer_id,rating,review_text,review_date
r1,81627,55066,4,Moment movie politics none medical recent.,2022-01-23
r2,53747,21304,5,People he benefit.,2021-11-29
r3,355,87196,4,Occur fight instead southern without end.,2020-12-25
r4,23295,11385,4,Congress white power all boy effort study.,2024-10-24
r5,91377,90666,5,Must we open serious want.,2023-01-11
r6,12688,77380,5,Someone mouth garden television.,2025-05-29
r7,73725,77975,4,Business within including tough black benefit.,2022-03-25
r8,26702,42425,4,Training must camera seem.,2024-05-05
r9,29636,2831,3,Arm board fish ask write.,2024-04-05
r10,26711,60673,5,Score century human but science myself.,2025-02-26
r11,29083,16640,4,Bill blue cup someone article trial.,2025-10-01
r12,68693,632,5,Develop sing establish what.,2021-08-11
r13,54538,81659,5,Soldier discussion seat.,2022-08-27
r14,62983,22958,5,No own lot catch worker.,2024-05-31
r15,81692,14524,4,Agree sit manager read.,2022-07-08
r16,91716,46917,5,Stop financial national.,2021-04-17
r17,31198,24725,4,Lead trip toward deal begin shake operation.,2022-08-11
r18,83309,57993,1,,2022-05-30
r19,49579,89860,3,Meet everyone interest.,2022-06-18
r20,74512,86018,5,Vote also think look appear decade floor.,2021-09-13
r21,18495,60331,4,Building traditional loss save box condition front.,2022-07-13
r22,85200,37676,3,,2021-04-08
r23,86353,87209,3,Room begin little only good common top either.,2023-11-12
r24,18079,81206,5,Exactly place lose business glass.,2024-04-07
r25,10859,42647,5,Off his staff as defense.,2022-06-13
r26,84839,40002,4,Become Mrs role top stop fear appear.,2024-08-11
r27,62920,72206,4,Watch term tonight range analysis point push.,2020-11-24
r28,41995,68434,2,Boy compare nice add finally direction.,2023-09-28
r29,43628,69624,2,Charge brother little room blue reach structure.,2021-11-08
r30,61012,74923,4,Song life any structure up might.,2023-07-18
r31,32704,28795,5,,2024-10-04
r32,55892,20008,4,Data might option however edge lose.,2025-07-30
r33,7093,99871,5,Who choice likely realize movement example.,2025-04-02
r34,70387,36722,2,Seek say far second just establish.,2025-06-10
r35,29415,86084,5,Energy true stay strategy key significant per.,2025-09-30
r36,45511,91201,4,Professional hot may western town.,2025-04-09
r37,88227,35810,5,Staff for see decade four with.,2024-07-27
r38,32508,88317,5,Similar note ability paper tonight service.,2020-12-18
r39,77346,89496,3,Century no across home try establish best.,2021-05-09
r40,96049,80542,5,Road write key.,2021-07-31
r41,30616,65361,3,Quickly issue well investment.,2025-11-01
r42,97105,20540,5,Certainly recently in very national moment hundred decide.,2025-07-28
r43,55463,53363,5,Address actually kitchen piece society.,2022-04-10
r44,25742,1615,5,Together produce nation pass hand course official.,2020-11-08
r45,13676,55007,3,Allow it order soon pattern.,2025-06-18
r46,35334,48132,4,News military plan less group without interview.,2022-06-09
r47,21151,97287,1,Stock send they work individual.,2021-07-17
r48,83467,74016,4,Attack may occur.,2024-03-20
r49,18411,15409,5,Pick step station international show.,2021-09-18
r50,1822,53845,1,Gas provide if quite after.,2022-10-11
r51,65202,27985,5,Position need travel away simple.,2024-09-14
r52,83653,63701,4,Successful brother determine end ago.,2022-11-23
r53,3211,6515,1,Dark work current along light measure leg.,2023-01-26
r54,74326,82122,4,Future reveal onto difficult early forward feel.,2021-10-17
r55,98315,28250,2,Draw never them image set.,2025-06-19
r56,86344,82558,5,Short relate want behavior give.,2021-09-08
r57,97513,24593,1,Perhaps later company trial become plan total behind.,2024-07-16
r58,30183,43334,5,Side than agent movement parent project pick.,2021-10-02
r59,36780,66034,5,Last fill kind door he partner authority.,2022-11-25
r60,93307,64792,5,Key last reason debate special despite director.,2023-05-19
r61,76639,50891,4,Under back end join particular.,2023-06-30
r62,53313,14150,5,How note member performance character specific.,2025-02-10
r63,42465,37428,5,Others source scientist their realize seven.,2022-02-14
r64,10000,95114,5,Tv camera east their series himself.,2025-04-09
r65,15696,15366,5,Chair course look lead mouth per product.,2023-04-25
r66,51375,28355,5,Write reality product develop physical.,2024-06-11
r67,94990,41808,4,Term measure amount pay.,2022-12-10
r68,52555,40759,5,Material information do station political beyond.,2025-08-09
r69,66331,85299,5,Challenge really dinner site.,2024-11-27
r70,66174,21859,2,Benefit analysis business pattern painting enjoy.,2021-11-01
r71,26352,30071,2,Save Republican student often.,2023-10-08
r72,51951,52960,3,Face child song on lot to through.,2020-11-24
r73,7229,8719,5,Can father speech able build goal dinner.,2022-02-01
r74,23201,41311,5,Cold low single address tell garden sit.,2024-07-10
r75,26558,11894,4,Unit account difficult thus ability management bad region.,2021-10-25
r76,69470,82263,5,Nor offer accept power concern letter less.,2023-01-16
r77,86587,30858,5,Wonder option concern just talk.,2022-02-13
r78,21073,27341,4,Morning product form truth interesting.,2021-07-30
r79,33933,15596,4,Place audience a.,2022-09-16
r80,90906,81606,2,Anyone continue sell stay kid themselves second garden.,2021-01-20
r81,44405,84416,5,Traditional want capital talk four book control debate.,2021-05-30
r82,26441,38261,3,Group laugh accept explain.,2024-12-16
r83,6844,70936,4,Past manage quite.,2023-12-05
r84,28657,41601,3,Hair choose executive.,2022-09-01
r85,9884,30025,4,Cup need success learn skill.,2021-10-20
r86,1583,53248,2,Dream avoid study list participant.,2025-12-04
r87,4263,63783,3,Industry best successful this product hard administration.,2022-10-27
r88,59779,64362,4,Myself scene simple idea win smile.,2021-10-02
r89,88253,19019,3,History reveal situation specific enter down.,2021-11-03
r90,76304,70033,5,Focus bed bar force.,2025-02-02
r91,37828,18499,5,Within arm society question indeed reflect notice movement.,2023-02-09
r92,4142,76161,3,Her manager often himself a.,2023-08-31
r93,18748,54717,3,Marriage summer week religious program attention account.,2024-05-30
r94,79560,30142,2,Senior approach whether fight section.,2022-07-30
r95,41151,93636,5,Even medical family western.,2024-06-14
r96,50858,80693,5,Such how side green article.,2023-06-28
r97,91161,30980,4,Painting as street either letter economic.,2024-08-29
r98,90402,48194,3,Edge page drop pick.,2022-02-27
r99,95267,64517,5,Himself east person chance.,2022-02-26
